file,title,x,y,hex,tier
edvard-munch_vampire.jpg,edvard-munch_vampire,0.48684,0.38782,#733222,4
edward-hopper_soir-bleu.jpg,edward-hopper_soir-bleu,0.61990,0.50788,#ad3a32,1
grant-wood_american-gothic.jpg,grant-wood_american-gothic,0.33109,0.59714,#191816,2
hiroshi-yoshida_kagurazaka-street-at-night-after-rain.jpg,hiroshi-yoshida_kagurazaka-street-at-night-after-rain,0.59770,0.21376,#c39967,1
ivan-aivazovsky_ship-on-stormy-seas.jpg,ivan-aivazovsky_ship-on-stormy-seas,0.55526,0.60075,#2b2c34,3
ivan-aivazovsky_the-wrath-of-the-seas.jpg,ivan-aivazovsky_the-wrath-of-the-seas,0.57632,0.57438,#1e2225,2
johannes-vermeer_the-milkmaid.png,johannes-vermeer_the-milkmaid,0.59787,0.62783,#031022,1
rembrandt_the-storm-on-the-sea-of-galilee.jpg,rembrandt_the-storm-on-the-sea-of-galilee,0.09709,0.71544,#1a202e,3
vincent-van-gogh_skull-of-a-skeleton-with-burning-cigarette.jpg,vincent-van-gogh_skull-of-a-skeleton-with-burning-cigarette,0.30325,0.36499,#503f19,1
F1000006.JPG,F1000006,0.61765,0.78945,#012c1c,1
F1000018.JPG,F1000018,0.53421,0.42913,#e9ac54,1
F1000008.JPG,F1000008,0.96583,0.98712,#0d1922,1
F1000037.JPG,F1000037,0.30190,0.42252,#211007,3
F1010002.JPG,F1010002,0.12673,0.88053,#446047,1
JP-SK - 23.jpg,JP-SK - 23,0.94074,0.59415,#d4b068,1
5515aa9367097b109a0890b303f67091--classic-cartoon-characters-classic-cartoons.jpg,5515aa9367097b109a0890b303f67091--classic-cartoon-characters-classic-cartoons,0.40084,0.55900,#9eadca,2
10.jpg,10,0.86440,0.21935,#2c2f52,2
Deep Sunset.jpg,Deep Sunset,0.81417,0.67024,#370329,1
Hiking.jpg,Hiking,0.81250,0.53687,#1e3d42,2
I See You.jpg,I See You,0.91853,0.44702,#2c0a34,1
Jonathan.jpg,Jonathan,0.05580,0.71153,#060c3d,1
Mountains.jpg,Mountains,0.41842,0.45276,#d303be,1
New.jpg,New,0.80469,0.17805,#5f6b96,1
New2.jpg,New2,0.96151,0.21211,#fc02b1,1
Run Girl Run.jpg,Run Girl Run,0.71819,0.17191,#78002d,1
